Test Type,Port Number / Nameserver,Result of Test
Port Egress,1,open
Port Egress,2,open
Port Egress,3,open
Port Egress,4,open
Port Egress,5,open
Port Egress,7,open
Port Egress,6,open
Port Egress,8,open
Port Egress,9,open
Port Egress,10,open
Port Egress,11,open
Port Egress,12,open
Port Egress,13,open
Port Egress,14,open
Port Egress,15,open
Port Egress,16,open
Port Egress,17,open
Port Egress,18,open
Port Egress,20,open
Port Egress,19,open
Port Egress,21,open
Port Egress,22,open
Port Egress,23,open
Port Egress,24,open
Port Egress,26,open
Port Egress,28,open
Port Egress,27,open
Port Egress,29,open
Port Egress,30,open
Port Egress,31,open
Port Egress,32,open
Port Egress,33,open
Port Egress,34,open
Port Egress,35,open
Port Egress,36,open
Port Egress,37,open
Port Egress,38,open
Port Egress,39,open
Port Egress,40,open
Port Egress,41,open
Port Egress,42,open
Port Egress,43,open
Port Egress,44,open
Port Egress,45,open
Port Egress,46,open
Port Egress,47,open
Port Egress,48,open
Port Egress,49,open
Port Egress,50,open
Port Egress,51,open
Port Egress,52,open
Port Egress,53,open
Port Egress,54,open
Port Egress,55,open
Port Egress,56,open
Port Egress,57,open
Port Egress,58,open
Port Egress,59,open
Port Egress,60,open
Port Egress,61,open
Port Egress,62,open
Port Egress,63,open
Port Egress,64,open
Port Egress,65,open
Port Egress,66,open
Port Egress,67,open
Port Egress,68,open
Port Egress,69,open
Port Egress,70,open
Port Egress,71,open
Port Egress,72,open
Port Egress,73,open
Port Egress,74,open
Port Egress,75,open
Port Egress,76,open
Port Egress,77,open
Port Egress,78,open
Port Egress,79,open
Port Egress,80,open
Port Egress,81,open
Port Egress,82,open
Port Egress,83,open
Port Egress,84,open
Port Egress,85,open
Port Egress,86,open
Port Egress,87,open
Port Egress,88,open
Port Egress,89,open
Port Egress,90,open
Port Egress,91,open
Port Egress,92,open
Port Egress,93,open
Port Egress,94,open
Port Egress,95,open
Port Egress,96,open
Port Egress,97,open
Port Egress,98,open
Port Egress,99,open
Port Egress,100,open
Port Egress,102,open
Port Egress,101,open
Port Egress,104,open
Port Egress,105,open
Port Egress,103,open
Port Egress,106,open
Port Egress,107,open
Port Egress,108,open
Port Egress,109,open
Port Egress,110,open
Port Egress,111,open
Port Egress,112,open
Port Egress,114,open
Port Egress,113,open
Port Egress,115,open
Port Egress,117,open
Port Egress,116,open
Port Egress,118,open
Port Egress,120,open
Port Egress,119,open
Port Egress,121,open
Port Egress,122,open
Port Egress,123,open
Port Egress,124,open
Port Egress,125,open
Port Egress,126,open
Port Egress,127,open
Port Egress,128,open
Port Egress,129,open
Port Egress,130,open
Port Egress,131,open
Port Egress,132,open
Port Egress,133,open
Port Egress,134,open
Port Egress,140,open
Port Egress,141,open
Port Egress,142,open
Port Egress,143,open
Port Egress,144,open
Port Egress,145,open
Port Egress,146,open
Port Egress,147,open
Port Egress,148,open
Port Egress,149,open
Port Egress,150,open
Port Egress,151,open
Port Egress,152,open
Port Egress,153,open
Port Egress,154,open
Port Egress,155,open
Port Egress,156,open
Port Egress,157,open
Port Egress,158,open
Port Egress,159,open
Port Egress,160,open
Port Egress,161,open
Port Egress,162,open
Port Egress,163,open
Port Egress,164,open
Port Egress,165,open
Port Egress,166,open
Port Egress,167,open
Port Egress,168,open
Port Egress,169,open
Port Egress,170,open
Port Egress,171,open
